"Date","Open","High","Low","Close","Volume"
"1979-02-01",839.22,843.99,802.23,808.82,26357800
"1979-01-02",805.01,865.04,798.51,839.22,29366300
"1978-12-01",801.98,829.87,781.01,805.01,26123500
"1978-11-01",805.53,831.69,779.11,799.03,25452800
"1978-10-02",865.82,909.39,782.05,792.45,32957200
"1978-09-01",876.82,917.24,850.92,865.82,34795000
"1978-08-01",862.27,911.21,855.34,876.82,39078200
"1978-07-03",818.95,866.34,800.94,862.27,28774000
"1978-06-01",840.61,879.33,807.95,818.95,31108600
"1978-05-01",837.32,865.64,813.84,840.61,36582700
"1978-04-03",756.67,846.15,747.05,837.32,36422500
"1978-03-01",742.12,777.81,736.75,757.36,23532200
"1978-02-01",769.92,787.42,739.17,742.12,20439400
"1978-01-03",830.47,830.47,759.44,769.92,21333800
"1977-12-01",829.7,835.15,800.42,831.17,22596600
"1977-11-01",816.01,850.05,794.53,829.7,24635700
"1977-10-03",847.11,855.57,792.79,818.35,20501900
"1977-09-01",861.49,879.76,830.3,847.11,19278000
"1977-08-01",890.07,900.03,844.42,861.49,19683900
"1977-07-01",916.3,927.84,878.81,890.07,24885700
"1977-06-01",898.66,934.36,896.46,916.3,22934500
"1977-05-02",926.9,949.46,892.55,898.66,21124700
"1977-04-01",919.55,956.07,909.74,926.9,21069500
"1977-03-01",936.42,971.58,914.15,919.13,19617300
"1977-02-01",954.37,963.76,926.03,936.42,21824200
"1977-01-03",1004.65,1007.81,944.9,954.37,24978000
"1976-12-01",947.22,1006.82,942.24,1004.65,25169000
"1976-11-01",964.93,971.99,917.89,947.22,19902500
"1976-10-01",990.19,995.6,928.27,964.93,18020000
"1976-09-01",973.74,1026.26,971.24,990.19,20450000
"1976-08-02",984.64,1004.74,954.12,973.74,16461800
"1976-07-01",1002.78,1017.93,974.2,984.64,19456600
"1976-06-01",975.23,1012.93,951.7,1002.78,20048100
"1976-05-03",995.83,1015.82,955.84,975.23,18638500
"1976-04-01",999.45,1017.71,963,996.85,19370900
